"","Tree.ID","id","Row","Tree","Rowf","Treef","Anth","Chl","Flav","AnthAdj","ChlAdj","FlavAdj","Allocation"
"43","1N4D6","1N4D6",1,42,"1","42",0.0837272727272727,38.9841818181818,1.97163636363636,0.0873631568920949,35.2153544887251,1.9844891056177,"F1"
"44","1N4D7","1N4D7",1,43,"1","43",0.100636363636364,32.1410909090909,2.18827272727273,0.0963434102243204,35.2009819107122,2.09400249723184,"F1"
"45","1N4D8","1N4D8",1,44,"1","44",0.0649,47.8773,1.7802,0.0802284168988368,38.1848727987395,1.8781092748198,"F1"
"46","1N4D9","1N4D9",1,45,"1","45",0.115636363636364,34.7321818181818,2.04581818181818,0.0965772774663661,36.4836895265978,2.01242403219518,"F1"
"47","1N4DA","1N4DA",1,46,"1","46",0.0737,42.7963,2.0279,0.0834221097989326,40.1882249558833,1.98505205744827,"F1"
"48","1N4DC","1N4DC",1,47,"1","47",0.0850909090909091,35.6777272727273,1.90218181818182,0.0829437942334898,35.8518159512898,1.92785529326724,"F1"
"49","1N4DD","1N4DD",1,48,"1","48",0.0803636363636364,42.9260909090909,1.81427272727273,0.0841234000280651,38.3184887179898,1.88025946430518,"F1"
"50","1N4DE","1N4DE",1,49,"1","49",0.0884545454545455,42.1743636363636,2.19772727272727,0.0871035665251883,37.0289520828102,2.12657720741678,"F1"
"51","1N4DF","1N4DF",1,50,"1","50",0.07104,38.45252,1.9798,0.0818941537091054,36.6236155385885,1.98633680853691,"F1"
"52","1N4DG","1N4DG",2,1,"2","1",0.0985454545454545,41.4009090909091,2.08181818181818,0.105739688732162,35.0121459950014,2.0494059248552,"F1"
"53","1N4DH","1N4DH",2,2,"2","2",0.103181818181818,35.1695454545455,2.01272727272727,0.108683725536342,32.7519189326108,2.00093339477803,"F1"
"54","1N4DJ","1N4DJ",2,3,"2","3",0.151545454545455,24.11,2.133,0.120865482002882,30.9033254449606,2.09805072114529,"F1"
"55","1N4DK","1N4DK",2,4,"2","4",0.132,33.7163636363636,1.95736363636364,0.11516267956665,33.2779124660235,1.9311889021375,"F1"
"56","1N4DL","1N4DL",2,5,"2","5",0.103909090909091,24.7412727272727,2.05536363636364,0.109733392873235,29.7948740125887,2.02224198827256,"F1"
"57","1N4DM","1N4DM",2,6,"2","6",0.134,25.7995454545455,2.01509090909091,0.116621809666767,30.5449490955121,2.00431315886448,"F1"
"58","1N4DP","1N4DP",2,7,"2","7",0.107,30.2815454545455,1.90163636363636,0.106753109496545,31.4847914191973,1.96192454437208,"F1"
"59","1N4DR","1N4DR",2,8,"2","8",0.101454545454545,30.4212727272727,1.94945454545455,0.104657139409826,31.5161797793994,1.97459065180332,"F1"
"60","1N4DS","1N4DS",2,9,"2","9",0.103909090909091,32.0862727272727,1.97163636363636,0.105124125295236,33.3380874337306,1.98299859744394,"F1"
"61","1N4DT","1N4DT",2,10,"2","10",0.1093,28.9854,1.9907,0.104383672441318,31.7882143654336,1.96753808317966,"F1"
"62","1N4DV","1N4DV",2,11,"2","11",0.104363636363636,33.0412727272727,2.116,0.102161544650529,31.7362751444553,2.06118084644564,"F1"
"63","1N4DW","1N4DW",2,12,"2","12",0.0911818181818182,38.6308181818182,1.90118181818182,0.0947554330491933,33.8344184800874,1.92792639353015,"F1"
"64","1N4DX","1N4DX",2,13,"2","13",0.098,31.2229090909091,1.90881818181818,0.0974359937269345,32.7473514068953,1.91551199855381,"F1"
"65","1N4DY","1N4DY",2,14,"2","14",0.0816363636363636,36.8275454545455,2.01363636363636,0.0870475471157256,34.0552326980173,1.97295062915977,"F1"
"66","1N4DZ","1N4DZ",2,15,"2","15",0.0812727272727273,37.6538181818182,2.02009090909091,0.0860544907804984,34.7642186917953,2.0005326545567,"F1"
"67","1N4E0","1N4E0",2,16,"2","16",0.0886363636363636,27.3154545454545,1.94663636363636,0.0931306321895664,32.7261710301259,1.92879161107387,"F1"
"68","1N4E1","1N4E1",2,17,"2","17",0.0848181818181818,29.3363636363636,1.84118181818182,0.0951330417319731,32.9638111427841,1.83486255440683,"F1"
"69","1N4E2","1N4E2",2,18,"2","18",0.0878181818181818,37.2264545454545,1.77690909090909,0.090482697941638,34.680436923905,1.83135409027955,"F1"
"70","1N4E3","1N4E3",2,19,"2","19",0.0946363636363636,38.1531818181818,1.86981818181818,0.095399466636571,35.3393968550237,1.87301936350354,"F1"
"71","1N4E4","1N4E4",2,20,"2","20",0.114681818181818,29.8165454545455,1.81722727272727,0.103277466533036,32.5106002628744,1.87629927841461,"F1"
"72","1N4E6","1N4E6",2,21,"2","21",0.0942727272727273,35.2599090909091,1.96945454545455,0.0951046884737632,34.4734412301273,1.90523863307811,"F1"
"73","1N4E8","1N4E8",2,22,"2","22",0.0833636363636364,40.0557272727273,1.75818181818182,0.095253547431161,35.7658783827945,1.80660610929789,"F1"
"74","1N4E9","1N4E9",2,23,"2","23",0.105636363636364,33.1236363636364,1.904,0.0969564644135213,33.1271550981225,1.90431303162946,"F1"
"75","1N4EA","1N4EA",2,24,"2","24",0.0945,38.3905,1.7184,0.0969488628493463,36.7145227623427,1.80507555290421,"F1"
"76","1N4EB","1N4EB",2,25,"2","25",0.0931818181818182,29.953,1.90527272727273,0.0949533453980403,33.3585911143979,1.88324671507624,"F1"
"77","1N4EC","1N4EC",2,26,"2","26",0.0802,37.6967,1.7934,0.0905876567104218,36.5845809033326,1.79577710033718,"F1"
"78","1N4ED","1N4ED",2,27,"2","27",0.0962727272727273,37.3123636363636,1.81954545454545,0.0935372545556175,38.2521640920085,1.86102086035334,"F1"
"79","1N4EE","1N4EE",2,28,"2","28",0.0998181818181818,42.2599090909091,1.978,0.09441199934427,39.1541648782886,1.95010117648658,"F1"
"80","1N4EG","1N4EG",2,30,"2","30",0.0881111111111111,37.0807777777778,2.01188888888889,0.0938717524758732,36.5968537903195,1.95729611601537,"F1"
